ID,Label,Latitude,Longitude,Elevation,Capacity
3707,Lexington Ave & E 26 St,40.741459000000006,-73.983293,30.4961,55
3117,Franklin St & Dupont St,40.735640000000004,-73.95866,12.53109727,27
479,9 Ave & W 45 St,40.76019252,-73.9912551,34.0,31
3758,George St & Wilson Ave,40.702996999999996,-73.92997,40.60099999,19
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,10.3389,23
3504,E 123 St & Lexington Ave,40.802926299999996,-73.9379,18.27541729,27
3564,21 St & 36 Ave,40.760185299999996,-73.9362726,12.75058512,19
484,W 44 St & 5 Ave,40.75500254,-73.98014437,60.85445658,46
237,E 11 St & 2 Ave,40.73047309,-73.98672378,31.31383795,39
3367,5 Ave & E 103 St,40.792255299999994,-73.95249933,39.54989999,39
468,Broadway & W 56 St,40.7652654,-73.98192338,76.47245425,65
392,Jay St & Tech Pl,40.695065,-73.987167,42.1137,35
402,Broadway & E 22 St,40.740343200000005,-73.98955109,41.29427046,39
3437,Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063,76.08077304,39
3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,38.075953600000005,37
3760,Willoughby Ave & Wyckoff Ave,40.705614000000004,-73.92153,32.9902,23
3814,E 56 St & Madison Ave,40.761573,-73.972628,51.00986336,23
3350,W 100 St & Broadway,40.797372100000004,-73.97041192,246.19,39
127,Barrow St & Hudson St,40.73172428,-74.00674436,18.63169999,31
494,W 26 St & 8 Ave,40.74734825,-73.99723551,24.0730534,66
3598,Newton Rd & 44 St,40.7595701,-73.91426779999999,80.31,19
489,10 Ave & W 28 St,40.75066386,-74.00176802,14.0,49
3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,43.98894741,41
3613,Center Blvd & 48 Ave,40.745038,-73.957539,9.376264599999999,27
3088,Union Ave & Jackson St,40.7160751,-73.95202900000001,10.53119999,19
3282,5 Ave & E 88 St,40.78307,-73.95939,109.03985214,38
3396,Clinton St & 4 Place,40.6783563,-74.00014502,37.2621,25
3777,Stockholm St & Wilson Ave,40.699304,-73.92304399999999,26.0828,23
411,E 6 St & Avenue D,40.72228087,-73.97668709,10.04279116,31
3105,N 15 St & Wythe Ave,40.724055,-73.955736,7.01989999,24
3546,Pacific St & Classon Ave,40.67919439999999,-73.95879029999999,88.64707834,21
3905,4 Ave & E 12 St,40.732647,-73.99011,43.6597,27
3835,Knickerbocker Ave & Hancock St,40.69385,-73.90974,104.33,22
2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,13.82069999,54
310,State St & Smith St,40.68926942,-73.98912867,38.73525966,66
3307,West End Ave & W 94 St,40.7941654,-73.974124,60.22313338,31
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,59.52462913,33
478,11 Ave & W 41 St,40.76030096,-73.99884222,16.57207113,37
3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,30.39141114,45
3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,65.09445001,43
3163,Central Park West & W 68 St,40.7734066,-73.97782542,83.20589584,43
3086,Graham Ave & Conselyea St,40.715143,-73.944507,34.72479999,30
3674,Jay St & York St,40.70140317257725,-73.98672670125961,41.01686519,27
3141,1 Ave & E 68 St,40.76500525,-73.95818491,49.26844909,58
3575,Crescent St & 34 Ave,40.76108,-73.930562,22.35,19
308,St James Pl & Oliver St,40.71307916,-73.99851193,24.34340103,48
3343,W 107 St & Columbus Ave,40.7997568,-73.9621128676,144.68,23
3497,Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,49.49,23
3876,Forest Ave & Summerfield St,40.699220000000004,-73.89795,78.81640593,23
3158,W 63 St & Broadway,40.77163851,-73.98261428,77.04254151,31
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,38.57788766,35
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,85.93362181,67
473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,41.47584878,50
3776,Central Ave & Starr Street,40.700003,-73.92834,64.67880726,23
3493,E 118 St & 3 Ave,40.799139000000004,-73.9389152,13.65799999,31
361,Allen St & Hester St,40.71605866,-73.99190759,38.2505706,79
3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,61.61431298,21
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,25.25565907,36
3566,Crescent St & 35 Ave,40.7596276,-73.93214549999999,24.43123558,25
513,W 56 St & 10 Ave,40.768254,-73.988639,98.04,29
440,E 45 St & 3 Ave,40.75255434,-73.97282625,89.01,32
3690,Park Pl & Church St,40.71334184275907,-74.00935515761375,28.23960475,36
146,Hudson St & Reade St,40.71625008,-74.0091059,19.898,39
3400,E 110 St & Madison Ave,40.796153499999996,-73.94782145,14.3374,24
454,E 51 St & 1 Ave,40.75455731,-73.96592976,93.48,35
3775,Suydam St & Knickerbocker Ave,40.702013,-73.923769,26.512145399999998,27
3404,7 St & 5 Ave,40.670492200000005,-73.98541675,109.44,27
3300,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,161.16199999,25
3997,5 Av & W 139 St,40.815484000000005,-73.935856,9.37673041,20
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,66.13201179,39
3309,E 97 St & 3 Ave,40.7859201,-73.94860294,33.10783849,30
377,6 Ave & Canal St,40.72243797,-74.00566443,6.94904737,48
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,190.01894129,27
3537,Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,64.28019999,29
3263,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,39.86233285,59
335,Washington Pl & Broadway,40.72903917,-73.99404649,205.9104286,27
372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,93.9,27
3996,Lexington Ave & E 128 St,40.806414000000004,-73.93608499999999,14.53291613,24
3314,W 95 St & Broadway,40.7937704,-73.971888,136.08,32
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,13.37015417,27
